Label,Worksheet ,Beginning Line , Ending Line,Begin Column,Ending Column ,Usage,NOTES 
A_C1_10,A000000,1000,1019,100,100,NUMERIC,
A_C1_100,A000000,7950,7999,100,100,NUMERIC,
A_C1_11,A000000,1100,1119,100,100,NUMERIC,
A_C1_12,A000000,1200,1219,100,100,NUMERIC,
A_C1_13,A000000,1300,1319,100,100,NUMERIC,
A_C1_14,A000000,1400,1419,100,100,NUMERIC,
A_C1_15,A000000,1500,1519,100,100,NUMERIC,
A_C1_16,A000000,1600,1619,100,100,NUMERIC,
A_C1_17,A000000,1700,1719,100,100,NUMERIC,
A_C1_18,A000000,1800,1819,100,100,NUMERIC,
A_C1_19,A000000,1950,1999,100,100,NUMERIC,
A_C1_19,A000000,1080,1099,100,100,NUMERIC,
A_C1_20,A000000,2000,2019,100,100,NUMERIC,
A_C1_21,A000000,2100,2119,100,100,NUMERIC,
A_C1_22,A000000,2200,2219,100,100,NUMERIC,
A_C1_23,A000000,2300,2319,100,100,NUMERIC,
A_C1_24,A000000,2400,2499,100,100,NUMERIC,
A_C1_26,A000000,2600,2619,100,100,NUMERIC,
A_C1_27,A000000,2700,2719,100,100,NUMERIC,
A_C1_28,A000000,2800,2819,100,100,NUMERIC,
A_C1_29,A000000,2900,2919,100,100,NUMERIC,
A_C1_30,A000000,2140,2159,100,100,NUMERIC,
A_C1_30,A000000,2080,2099,100,100,NUMERIC,
A_C1_30,A000000,2060,2079,100,100,NUMERIC,
A_C1_30,A000000,2180,2199,100,100,NUMERIC,
A_C1_30,A000000,2040,2059,100,100,NUMERIC,
A_C1_30,A000000,2120,2139,100,100,NUMERIC,
A_C1_37,A000000,3700,3729,100,100,NUMERIC,
A_C1_37,A000000,3540,3549,100,100,NUMERIC,
A_C1_37,A000000,3220,3229,100,100,NUMERIC,
A_C1_37,A000000,3330,3339,100,100,NUMERIC,
A_C1_38,A000000,3800,3829,100,100,NUMERIC,
A_C1_39,A000000,3900,3929,100,100,NUMERIC,
A_C1_39,A000000,3070,3079,100,100,NUMERIC,
A_C1_40,A000000,4000,4029,100,100,NUMERIC,
A_C1_40,A000000,3020,3029,100,100,NUMERIC,
A_C1_41,A000000,4100,4129,100,100,NUMERIC,
A_C1_41,A000000,3450,3459,100,100,NUMERIC,
A_C1_41,A000000,3630,3639,100,100,NUMERIC,
A_C1_41,A000000,3440,3449,100,100,NUMERIC,
A_C1_41,A000000,3030,3039,100,100,NUMERIC,
A_C1_41,A000000,3260,3269,100,100,NUMERIC,
A_C1_41,A000000,3230,3239,100,100,NUMERIC,
A_C1_41,A000000,3430,3439,100,100,NUMERIC,
A_C1_42,A000000,4200,4229,100,100,NUMERIC,
A_C1_42,A000000,3470,3479,100,100,NUMERIC,
A_C1_42,A000000,3320,3329,100,100,NUMERIC,
A_C1_42,A000000,3190,3199,100,100,NUMERIC,
A_C1_43,A000000,4300,4329,100,100,NUMERIC,
A_C1_44,A000000,4400,4429,100,100,NUMERIC,
A_C1_44,A000000,3480,3489,100,100,NUMERIC,
A_C1_44,A000000,3060,3069,100,100,NUMERIC,
A_C1_44,A000000,3350,3359,100,100,NUMERIC,
A_C1_44,A000000,3240,3249,100,100,NUMERIC,
A_C1_44,A000000,3380,3389,100,100,NUMERIC,
A_C1_44,A000000,3050,3059,100,100,NUMERIC,
A_C1_44,A000000,3180,3189,100,100,NUMERIC,
A_C1_44,A000000,3650,3659,100,100,NUMERIC,
A_C1_44,A000000,3420,3429,100,100,NUMERIC,
A_C1_44,A000000,3390,3399,100,100,NUMERIC,
A_C1_44,A000000,3360,3369,100,100,NUMERIC,
A_C1_44,A000000,3640,3649,100,100,NUMERIC,
A_C1_44,A000000,3340,3349,100,100,NUMERIC,
A_C1_46,A000000,4600,4629,100,100,NUMERIC,
A_C1_47,A000000,4700,4729,100,100,NUMERIC,
A_C1_48,A000000,4800,4829,100,100,NUMERIC,
A_C1_49,A000000,4900,4929,100,100,NUMERIC,
A_C1_49,A000000,3560,3569,100,100,NUMERIC,
A_C1_5,A000000,500,519,100,100,NUMERIC,
A_C1_50,A000000,5000,5029,100,100,NUMERIC,
A_C1_50,A000000,3530,3539,100,100,NUMERIC,
A_C1_51,A000000,5100,5129,100,100,NUMERIC,
A_C1_52,A000000,5200,5229,100,100,NUMERIC,
A_C1_53,A000000,5300,5329,100,100,NUMERIC,
A_C1_53,A000000,3280,3289,100,100,NUMERIC,
A_C1_53,A000000,3290,3299,100,100,NUMERIC,
A_C1_53,A000000,3160,3179,100,100,NUMERIC,
A_C1_53,A000000,3620,3629,100,100,NUMERIC,
A_C1_53,A000000,3140,3159,100,100,NUMERIC,
A_C1_53,A000000,3370,3379,100,100,NUMERIC,
A_C1_53,A000000,3120,3129,100,100,NUMERIC,
A_C1_54,A000000,5400,5429,100,100,NUMERIC,
A_C1_55,A000000,5500,5529,100,100,NUMERIC,
A_C1_56,A000000,5600,5629,100,100,NUMERIC,
A_C1_58,A000000,5800,5829,100,100,NUMERIC,
A_C1_59,A000000,3040,3049,100,100,NUMERIC,
A_C1_59,A000000,3250,3259,100,100,NUMERIC,
A_C1_59,A000000,3580,3589,100,100,NUMERIC,
A_C1_59,A000000,3550,3559,100,100,NUMERIC,
A_C1_59,A000000,3520,3529,100,100,NUMERIC,
A_C1_59,A000000,3950,3999,100,100,NUMERIC,
A_C1_6,A000000,600,600,100,100,NUMERIC,
A_C1_6,A000000,1160,1179,100,100,NUMERIC,
A_C1_6,A000000,660,669,100,100,NUMERIC,
A_C1_6,A000000,620,629,100,100,NUMERIC,
A_C1_6,A000000,1140,1159,100,100,NUMERIC,
A_C1_6,A000000,640,649,100,100,NUMERIC,
A_C1_6,A000000,630,639,100,100,NUMERIC,
A_C1_6,A000000,650,659,100,100,NUMERIC,
A_C1_6,A000000,610,619,100,100,NUMERIC,
A_C1_60,A000000,6000,6099,100,100,NUMERIC,
A_C1_61,A000000,6100,6119,100,100,NUMERIC,
A_C1_6201,A000000,6201,6210,100,100,NUMERIC,
A_C1_63,A000000,4040,4049,100,100,NUMERIC,
A_C1_63,A000000,4050,4059,100,100,NUMERIC,
A_C1_63,A000000,4950,4999,100,100,NUMERIC,
A_C1_6350,A000000,6310,6319,100,100,NUMERIC,
A_C1_6350,A000000,6350,6364,100,100,NUMERIC,
A_C1_6360,A000000,6320,6344,100,100,NUMERIC,
A_C1_66,A000000,6600,6619,100,100,NUMERIC,
A_C1_66,A000000,6620,6624,100,100,NUMERIC,
A_C1_67,A000000,6700,6719,100,100,NUMERIC,
A_C1_67,A000000,6720,6724,100,100,NUMERIC,
A_C1_68,A000000,5950,5999,100,100,NUMERIC,
A_C1_69,A000000,6900,6909,100,100,NUMERIC,
A_C1_6910,A000000,6910,6919,100,100,NUMERIC,
A_C1_6920,A000000,6920,6929,100,100,NUMERIC,
A_C1_6930,A000000,6930,6939,100,100,NUMERIC,
A_C1_6940,A000000,6940,6949,100,100,NUMERIC,
A_C1_7,A000000,700,719,100,100,NUMERIC,
A_C1_71,A000000,7100,7109,100,100,NUMERIC,
A_C1_8,A000000,800,819,100,100,NUMERIC,
A_C1_86,A000000,8600,8619,100,100,NUMERIC,
A_C1_9,A000000,900,919,100,100,NUMERIC,
A_C1_92,A000000,9200,9219,100,100,NUMERIC,
A_C1_93,A000000,9300,9304,100,100,NUMERIC,
A_C1_94,A000000,6950,6999,100,100,NUMERIC,
A_C1_96,A000000,9600,9619,100,100,NUMERIC,
A_C1_97,A000000,9700,9719,100,100,NUMERIC,
A_C1_98,A000000,9800,9819,100,100,NUMERIC,
A_C1_99,A000000,9900,9919,100,100,NUMERIC,
A_C2_1,A000000,100,149,200,200,NUMERIC,
A_C2_10,A000000,1000,1019,200,200,NUMERIC,
A_C2_100,A000000,7950,7999,200,200,NUMERIC,
A_C2_11,A000000,1100,1119,200,200,NUMERIC,
A_C2_12,A000000,1200,1219,200,200,NUMERIC,
A_C2_13,A000000,1300,1319,200,200,NUMERIC,
A_C2_14,A000000,1400,1419,200,200,NUMERIC,
A_C2_15,A000000,1500,1519,200,200,NUMERIC,
A_C2_16,A000000,1600,1619,200,200,NUMERIC,
A_C2_17,A000000,1700,1719,200,200,NUMERIC,
A_C2_18,A000000,1800,1819,200,200,NUMERIC,
A_C2_19,A000000,1950,1999,200,200,NUMERIC,
A_C2_19,A000000,1080,1099,200,200,NUMERIC,
A_C2_2,A000000,200,249,200,200,NUMERIC,
A_C2_20,A000000,2000,2019,200,200,NUMERIC,
A_C2_21,A000000,2100,2119,200,200,NUMERIC,
A_C2_22,A000000,2200,2219,200,200,NUMERIC,
A_C2_23,A000000,2300,2319,200,200,NUMERIC,
A_C2_24,A000000,2400,2499,200,200,NUMERIC,
A_C2_26,A000000,2600,2619,200,200,NUMERIC,
A_C2_27,A000000,2700,2719,200,200,NUMERIC,
A_C2_28,A000000,2800,2819,200,200,NUMERIC,
A_C2_29,A000000,2900,2919,200,200,NUMERIC,
A_C2_3,A000000,300,349,200,200,NUMERIC,
A_C2_30,A000000,2140,2159,200,200,NUMERIC,
A_C2_30,A000000,2080,2099,200,200,NUMERIC,
A_C2_30,A000000,2060,2079,200,200,NUMERIC,
A_C2_30,A000000,2180,2199,200,200,NUMERIC,
A_C2_30,A000000,2040,2059,200,200,NUMERIC,
A_C2_30,A000000,2120,2139,200,200,NUMERIC,
A_C2_37,A000000,3700,3729,200,200,NUMERIC,
A_C2_37,A000000,3540,3549,200,200,NUMERIC,
A_C2_37,A000000,3220,3229,200,200,NUMERIC,
A_C2_37,A000000,3330,3339,200,200,NUMERIC,
A_C2_38,A000000,3800,3829,200,200,NUMERIC,
A_C2_39,A000000,3900,3929,200,200,NUMERIC,
A_C2_39,A000000,3070,3079,200,200,NUMERIC,
A_C2_4,A000000,400,449,200,200,NUMERIC,
A_C2_40,A000000,4000,4029,200,200,NUMERIC,
A_C2_40,A000000,3020,3029,200,200,NUMERIC,
A_C2_41,A000000,4100,4129,200,200,NUMERIC,
A_C2_41,A000000,3450,3459,200,200,NUMERIC,
A_C2_41,A000000,3630,3639,200,200,NUMERIC,
A_C2_41,A000000,3440,3449,200,200,NUMERIC,
A_C2_41,A000000,3030,3039,200,200,NUMERIC,
A_C2_41,A000000,3260,3269,200,200,NUMERIC,
A_C2_41,A000000,3230,3239,200,200,NUMERIC,
A_C2_41,A000000,3430,3439,200,200,NUMERIC,
A_C2_42,A000000,4200,4229,200,200,NUMERIC,
A_C2_42,A000000,3470,3479,200,200,NUMERIC,
A_C2_42,A000000,3320,3329,200,200,NUMERIC,
A_C2_42,A000000,3190,3199,200,200,NUMERIC,
A_C2_43,A000000,4300,4329,200,200,NUMERIC,
A_C2_44,A000000,4400,4429,200,200,NUMERIC,
A_C2_44,A000000,3480,3489,200,200,NUMERIC,
A_C2_44,A000000,3060,3069,200,200,NUMERIC,
A_C2_44,A000000,3350,3359,200,200,NUMERIC,
A_C2_44,A000000,3240,3249,200,200,NUMERIC,
A_C2_44,A000000,3380,3389,200,200,NUMERIC,
A_C2_44,A000000,3050,3059,200,200,NUMERIC,
A_C2_44,A000000,3180,3189,200,200,NUMERIC,
A_C2_44,A000000,3650,3659,200,200,NUMERIC,
A_C2_44,A000000,3420,3429,200,200,NUMERIC,
A_C2_44,A000000,3390,3399,200,200,NUMERIC,
A_C2_44,A000000,3360,3369,200,200,NUMERIC,
A_C2_44,A000000,3640,3649,200,200,NUMERIC,
A_C2_44,A000000,3340,3349,200,200,NUMERIC,
A_C2_46,A000000,4600,4629,200,200,NUMERIC,
A_C2_47,A000000,4700,4729,200,200,NUMERIC,
A_C2_48,A000000,4800,4829,200,200,NUMERIC,
A_C2_49,A000000,4900,4929,200,200,NUMERIC,
A_C2_49,A000000,3560,3569,200,200,NUMERIC,
A_C2_5,A000000,500,519,200,200,NUMERIC,
A_C2_50,A000000,5000,5029,200,200,NUMERIC,
A_C2_50,A000000,3530,3539,200,200,NUMERIC,
A_C2_51,A000000,5100,5129,200,200,NUMERIC,
A_C2_52,A000000,5200,5229,200,200,NUMERIC,
A_C2_53,A000000,5300,5329,200,200,NUMERIC,
A_C2_53,A000000,3280,3289,200,200,NUMERIC,
A_C2_53,A000000,3290,3299,200,200,NUMERIC,
A_C2_53,A000000,3160,3179,200,200,NUMERIC,
A_C2_53,A000000,3620,3629,200,200,NUMERIC,
A_C2_53,A000000,3140,3159,200,200,NUMERIC,
A_C2_53,A000000,3370,3379,200,200,NUMERIC,
A_C2_53,A000000,3120,3129,200,200,NUMERIC,
A_C2_54,A000000,5400,5429,200,200,NUMERIC,
A_C2_55,A000000,5500,5529,200,200,NUMERIC,
A_C2_56,A000000,5600,5629,200,200,NUMERIC,
A_C2_58,A000000,5800,5829,200,200,NUMERIC,
A_C2_59,A000000,3040,3049,200,200,NUMERIC,
A_C2_59,A000000,3250,3259,200,200,NUMERIC,
A_C2_59,A000000,3580,3589,200,200,NUMERIC,
A_C2_59,A000000,3550,3559,200,200,NUMERIC,
A_C2_59,A000000,3520,3529,200,200,NUMERIC,
A_C2_59,A000000,3950,3999,200,200,NUMERIC,
A_C2_6,A000000,600,600,200,200,NUMERIC,
A_C2_6,A000000,1160,1179,200,200,NUMERIC,
A_C2_6,A000000,660,669,200,200,NUMERIC,
A_C2_6,A000000,620,629,200,200,NUMERIC,
A_C2_6,A000000,1140,1159,200,200,NUMERIC,
A_C2_6,A000000,640,649,200,200,NUMERIC,
A_C2_6,A000000,630,639,200,200,NUMERIC,
A_C2_6,A000000,650,659,200,200,NUMERIC,
A_C2_6,A000000,610,619,200,200,NUMERIC,
A_C2_60,A000000,6000,6099,200,200,NUMERIC,
A_C2_61,A000000,6100,6119,200,200,NUMERIC,
A_C2_6201,A000000,6201,6210,200,200,NUMERIC,
A_C2_63,A000000,4040,4049,200,200,NUMERIC,
A_C2_63,A000000,4050,4059,200,200,NUMERIC,
A_C2_63,A000000,4950,4999,200,200,NUMERIC,
A_C2_6350,A000000,6310,6319,200,200,NUMERIC,
A_C2_6350,A000000,6350,6364,200,200,NUMERIC,
A_C2_6360,A000000,6320,6344,200,200,NUMERIC,
A_C2_66,A000000,6600,6619,200,200,NUMERIC,
A_C2_66,A000000,6620,6624,200,200,NUMERIC,
A_C2_67,A000000,6700,6719,200,200,NUMERIC,
A_C2_67,A000000,6720,6724,200,200,NUMERIC,
A_C2_68,A000000,5950,5999,200,200,NUMERIC,
A_C2_69,A000000,6900,6909,200,200,NUMERIC,
A_C2_6910,A000000,6910,6919,200,200,NUMERIC,
A_C2_6920,A000000,6920,6929,200,200,NUMERIC,
A_C2_6930,A000000,6930,6939,200,200,NUMERIC,
A_C2_6940,A000000,6940,6949,200,200,NUMERIC,
A_C2_7,A000000,700,719,200,200,NUMERIC,
A_C2_71,A000000,7100,7109,200,200,NUMERIC,
A_C2_8,A000000,800,819,200,200,NUMERIC,
A_C2_86,A000000,8600,8619,200,200,NUMERIC,
A_C2_9,A000000,500,919,200,200,NUMERIC,
A_C2_92,A000000,9200,9219,200,200,NUMERIC,
A_C2_93,A000000,9300,9304,200,200,NUMERIC,
A_C2_94,A000000,6950,6999,200,200,NUMERIC,
A_C2_96,A000000,9600,9619,200,200,NUMERIC,
A_C2_97,A000000,9700,9719,200,200,NUMERIC,
A_C2_98,A000000,9800,9819,200,200,NUMERIC,
A_C2_99,A000000,9900,9919,200,200,NUMERIC,
A_C6_1,A000000,100,149,600,600,NUMERIC,
A_C6_10,A000000,1000,1019,600,600,NUMERIC,
A_C6_100,A000000,7950,7999,600,600,NUMERIC,
A_C6_11,A000000,1100,1119,600,600,NUMERIC,
A_C6_12,A000000,1200,1219,600,600,NUMERIC,
A_C6_13,A000000,1300,1319,600,600,NUMERIC,
A_C6_14,A000000,1400,1419,600,600,NUMERIC,
A_C6_15,A000000,1500,1519,600,600,NUMERIC,
A_C6_16,A000000,1600,1619,600,600,NUMERIC,
A_C6_17,A000000,1700,1719,600,600,NUMERIC,
A_C6_18,A000000,1800,1819,600,600,NUMERIC,
A_C6_19,A000000,1950,1999,600,600,NUMERIC,
A_C6_19,A000000,1080,1099,600,600,NUMERIC,
A_C6_2,A000000,200,249,600,600,NUMERIC,
A_C6_20,A000000,2000,2019,600,600,NUMERIC,
A_C6_21,A000000,2100,2119,600,600,NUMERIC,
A_C6_22,A000000,2200,2219,600,600,NUMERIC,
A_C6_23,A000000,2300,2319,600,600,NUMERIC,
A_C6_24,A000000,2400,2499,600,600,NUMERIC,
A_C6_26,A000000,2600,2619,600,600,NUMERIC,
A_C6_27,A000000,2700,2719,600,600,NUMERIC,
A_C6_28,A000000,2800,2819,600,600,NUMERIC,
A_C6_29,A000000,2900,2919,600,600,NUMERIC,
A_C6_3,A000000,300,349,600,600,NUMERIC,
A_C6_30,A000000,2140,2159,600,600,NUMERIC,
A_C6_30,A000000,2080,2099,600,600,NUMERIC,
A_C6_30,A000000,2060,2079,600,600,NUMERIC,
A_C6_30,A000000,2180,2199,600,600,NUMERIC,
A_C6_30,A000000,2040,2059,600,600,NUMERIC,
A_C6_30,A000000,2120,2139,600,600,NUMERIC,
A_C6_37,A000000,3700,3729,600,600,NUMERIC,
A_C6_37,A000000,3540,3549,600,600,NUMERIC,
A_C6_37,A000000,3220,3229,600,600,NUMERIC,
A_C6_37,A000000,3330,3339,600,600,NUMERIC,
A_C6_38,A000000,3800,3829,600,600,NUMERIC,
A_C6_39,A000000,3900,3929,600,600,NUMERIC,
A_C6_39,A000000,3070,3079,600,600,NUMERIC,
A_C6_4,A000000,400,449,600,600,NUMERIC,
A_C6_40,A000000,4000,4029,600,600,NUMERIC,
A_C6_40,A000000,3020,3029,600,600,NUMERIC,
A_C6_41,A000000,4100,4129,600,600,NUMERIC,
A_C6_41,A000000,3450,3459,600,600,NUMERIC,
A_C6_41,A000000,3630,3639,600,600,NUMERIC,
A_C6_41,A000000,3440,3449,600,600,NUMERIC,
A_C6_41,A000000,3030,3039,600,600,NUMERIC,
A_C6_41,A000000,3260,3269,600,600,NUMERIC,
A_C6_41,A000000,3230,3239,600,600,NUMERIC,
A_C6_41,A000000,3430,3439,600,600,NUMERIC,
A_C6_42,A000000,4200,4229,600,600,NUMERIC,
A_C6_42,A000000,3470,3479,600,600,NUMERIC,
A_C6_42,A000000,3320,3329,600,600,NUMERIC,
A_C6_42,A000000,3190,3199,600,600,NUMERIC,
A_C6_43,A000000,4300,4329,600,600,NUMERIC,
A_C6_44,A000000,4400,4429,600,600,NUMERIC,
A_C6_44,A000000,3480,3489,600,600,NUMERIC,
A_C6_44,A000000,3060,3069,600,600,NUMERIC,
A_C6_44,A000000,3350,3359,600,600,NUMERIC,
A_C6_44,A000000,3240,3249,600,600,NUMERIC,
A_C6_44,A000000,3380,3389,600,600,NUMERIC,
A_C6_44,A000000,3050,3059,600,600,NUMERIC,
A_C6_44,A000000,3180,3189,600,600,NUMERIC,
A_C6_44,A000000,3650,3659,600,600,NUMERIC,
A_C6_44,A000000,3420,3429,600,600,NUMERIC,
A_C6_44,A000000,3390,3399,600,600,NUMERIC,
A_C6_44,A000000,3360,3369,600,600,NUMERIC,
A_C6_44,A000000,3640,3649,600,600,NUMERIC,
A_C6_44,A000000,3340,3349,600,600,NUMERIC,
A_C6_46,A000000,4600,4629,600,600,NUMERIC,
A_C6_47,A000000,4700,4729,600,600,NUMERIC,
A_C6_48,A000000,4800,4829,600,600,NUMERIC,
A_C6_49,A000000,4900,4929,600,600,NUMERIC,
A_C6_49,A000000,3560,3569,600,600,NUMERIC,
A_C6_5,A000000,500,519,600,600,NUMERIC,
A_C6_50,A000000,5000,5029,600,600,NUMERIC,
A_C6_50,A000000,3530,3539,600,600,NUMERIC,
A_C6_51,A000000,5100,5129,600,600,NUMERIC,
A_C6_52,A000000,5200,5229,600,600,NUMERIC,
A_C6_53,A000000,5300,5329,600,600,NUMERIC,
A_C6_53,A000000,3280,3289,600,600,NUMERIC,
A_C6_53,A000000,3290,3299,600,600,NUMERIC,
A_C6_53,A000000,3160,3179,600,600,NUMERIC,
A_C6_53,A000000,3620,3629,600,600,NUMERIC,
A_C6_53,A000000,3140,3159,600,600,NUMERIC,
A_C6_53,A000000,3370,3379,600,600,NUMERIC,
A_C6_53,A000000,3120,3129,600,600,NUMERIC,
A_C6_54,A000000,5400,5429,600,600,NUMERIC,
A_C6_55,A000000,5500,5529,600,600,NUMERIC,
A_C6_56,A000000,5600,5629,600,600,NUMERIC,
A_C6_58,A000000,5800,5829,600,600,NUMERIC,
A_C6_59,A000000,3040,3049,600,600,NUMERIC,
A_C6_59,A000000,3250,3259,600,600,NUMERIC,
A_C6_59,A000000,3580,3589,600,600,NUMERIC,
A_C6_59,A000000,3550,3559,600,600,NUMERIC,
A_C6_59,A000000,3520,3529,600,600,NUMERIC,
A_C6_59,A000000,3950,3999,600,600,NUMERIC,
A_C6_6,A000000,600,600,600,600,NUMERIC,
A_C6_6,A000000,1160,1179,600,600,NUMERIC,
A_C6_6,A000000,660,669,600,600,NUMERIC,
A_C6_6,A000000,620,629,600,600,NUMERIC,
A_C6_6,A000000,1140,1159,600,600,NUMERIC,
A_C6_6,A000000,640,649,600,600,NUMERIC,
A_C6_6,A000000,630,639,600,600,NUMERIC,
A_C6_6,A000000,650,659,600,600,NUMERIC,
A_C6_6,A000000,610,619,600,600,NUMERIC,
A_C6_60,A000000,6000,6099,600,600,NUMERIC,
A_C6_61,A000000,6100,6119,600,600,NUMERIC,
A_C6_6201,A000000,6201,6210,600,600,NUMERIC,
A_C6_63,A000000,4040,4049,600,600,NUMERIC,
A_C6_63,A000000,4050,4059,600,600,NUMERIC,
A_C6_63,A000000,4950,4999,600,600,NUMERIC,
A_C6_6350,A000000,6310,6319,600,600,NUMERIC,
A_C6_6350,A000000,6350,6364,600,600,NUMERIC,
A_C6_6360,A000000,6320,6344,600,600,NUMERIC,
A_C6_66,A000000,6600,6619,600,600,NUMERIC,
A_C6_66,A000000,6620,6624,600,600,NUMERIC,
A_C6_67,A000000,6700,6719,600,600,NUMERIC,
A_C6_67,A000000,6720,6724,600,600,NUMERIC,
A_C6_68,A000000,5950,5999,600,600,NUMERIC,
A_C6_69,A000000,6900,6909,600,600,NUMERIC,
A_C6_6910,A000000,6910,6919,600,600,NUMERIC,
A_C6_6920,A000000,6920,6929,600,600,NUMERIC,
A_C6_6930,A000000,6930,6939,600,600,NUMERIC,
A_C6_6940,A000000,6940,6949,600,600,NUMERIC,
A_C6_7,A000000,700,719,600,600,NUMERIC,
A_C6_71,A000000,7100,7109,600,600,NUMERIC,
A_C6_8,A000000,800,819,600,600,NUMERIC,
A_C6_86,A000000,8600,8619,600,600,NUMERIC,
A_C6_9,A000000,500,919,600,600,NUMERIC,
A_C6_92,A000000,9200,9219,600,600,NUMERIC,
A_C6_93,A000000,9300,9304,600,600,NUMERIC,
A_C6_94,A000000,6950,6999,600,600,NUMERIC,
A_C6_96,A000000,9600,9619,600,600,NUMERIC,
A_C6_97,A000000,9700,9719,600,600,NUMERIC,
A_C6_98,A000000,9800,9819,600,600,NUMERIC,
A_C6_99,A000000,9900,9919,600,600,NUMERIC,
A7_3_C10_1,A700003,100,149,1000,1000,NUMERIC,
A7_3_C10_2,A700003,200,249,1000,1000,NUMERIC,
A7_3_C10_3,A700003,300,349,1000,1000,NUMERIC,
A7_3_C10_4,A700003,400,449,1000,1000,NUMERIC,
A7_3_C11_1,A700003,100,149,1100,1100,NUMERIC,
A7_3_C11_2,A700003,200,249,1100,1100,NUMERIC,
A7_3_C11_3,A700003,300,349,1100,1100,NUMERIC,
A7_3_C11_4,A700003,400,449,1100,1100,NUMERIC,
A7_3_C15_1,A700003,100,149,1500,1500,NUMERIC,
A7_3_C15_2,A700003,200,249,1500,1500,NUMERIC,
A7_3_C15_3,A700003,300,349,1500,1500,NUMERIC,
A7_3_C15_4,A700003,400,449,1500,1500,NUMERIC,
A7_3_C5_1,A700003,100,149,500,500,NUMERIC,
A7_3_C5_2,A700003,200,249,500,500,NUMERIC,
A7_3_C5_3,A700003,300,349,500,500,NUMERIC,
A7_3_C5_4,A700003,400,449,500,500,NUMERIC,
A7_3_C6_1,A700003,100,149,600,600,NUMERIC,
A7_3_C6_2,A700003,200,249,600,600,NUMERIC,
A7_3_C6_3,A700003,300,349,600,600,NUMERIC,
A7_3_C6_4,A700003,400,449,600,600,NUMERIC,
A7_3_C7_1,A700003,100,149,700,700,NUMERIC,
A7_3_C7_2,A700003,200,249,700,700,NUMERIC,
A7_3_C7_3,A700003,300,349,700,700,NUMERIC,
A7_3_C7_4,A700003,400,449,700,700,NUMERIC,
A7_3_C9_1,A700003,100,149,500,500,NUMERIC,
A7_3_C9_2,A700003,200,249,500,500,NUMERIC,
A7_3_C9_3,A700003,300,349,500,500,NUMERIC,
A7_3_C9_4,A700003,400,449,500,500,NUMERIC,
A8_C2_1,A800000,100,199,200,200,NUMERIC,
A8_C2_12,A800000,1200,1299,200,200,NUMERIC,
A8_C2_14,A800000,1400,1499,200,200,NUMERIC,
A8_C2_16,A800000,1600,1699,200,200,NUMERIC,
A8_C2_2,A800000,200,299,200,200,NUMERIC,
A8_C2_21,A800000,2100,2199,200,200,NUMERIC,
A8_C2_24,A800000,2400,2499,200,200,NUMERIC,
A8_C2_29,A800000,2900,2999,200,200,NUMERIC,
A8_C2_3,A800000,300,399,200,200,NUMERIC,
A8_C2_30,A800000,3000,3099,200,200,NUMERIC,
A8_C2_31,A800000,3100,3199,200,200,NUMERIC,
A8_C2_32,A800000,3200,3299,200,200,NUMERIC,
A8_C2_33,A800000,3300,3399,200,200,NUMERIC,
A8_C2_34,A800000,3400,3499,200,200,NUMERIC,
A8_C2_4,A800000,400,499,200,200,NUMERIC,
A8_C2_5,A800000,500,599,200,200,NUMERIC,
B_1_C0_1,B000001,100,149,0,0,NUMERIC,
B_1_C0_10,B000001,1000,1019,0,0,NUMERIC,
B_1_C0_100,B000001,7950,7999,0,0,NUMERIC,
B_1_C0_11,B000001,1100,1119,0,0,NUMERIC,
B_1_C0_12,B000001,1200,1219,0,0,NUMERIC,
B_1_C0_13,B000001,1300,1319,0,0,NUMERIC,
B_1_C0_14,B000001,1400,1419,0,0,NUMERIC,
B_1_C0_15,B000001,1500,1519,0,0,NUMERIC,
B_1_C0_16,B000001,1600,1619,0,0,NUMERIC,
B_1_C0_17,B000001,1700,1719,0,0,NUMERIC,
B_1_C0_18,B000001,1800,1819,0,0,NUMERIC,
B_1_C0_19,B000001,1950,1999,0,0,NUMERIC,
B_1_C0_19,B000001,1080,1099,0,0,NUMERIC,
B_1_C0_2,B000001,200,249,0,0,NUMERIC,
B_1_C0_20,B000001,2000,2019,0,0,NUMERIC,
B_1_C0_21,B000001,2100,2119,0,0,NUMERIC,
B_1_C0_22,B000001,2200,2219,0,0,NUMERIC,
B_1_C0_23,B000001,2300,2319,0,0,NUMERIC,
B_1_C0_24,B000001,2400,2499,0,0,NUMERIC,
B_1_C0_26,B000001,2600,2619,0,0,NUMERIC,
B_1_C0_27,B000001,2700,2719,0,0,NUMERIC,
B_1_C0_28,B000001,2800,2819,0,0,NUMERIC,
B_1_C0_29,B000001,2900,2919,0,0,NUMERIC,
B_1_C0_3,B000001,300,349,0,0,NUMERIC,
B_1_C0_30,B000001,2140,2159,0,0,NUMERIC,
B_1_C0_30,B000001,2080,2099,0,0,NUMERIC,
B_1_C0_30,B000001,2060,2079,0,0,NUMERIC,
B_1_C0_30,B000001,2180,2199,0,0,NUMERIC,
B_1_C0_30,B000001,2040,2059,0,0,NUMERIC,
B_1_C0_30,B000001,2120,2139,0,0,NUMERIC,
B_1_C0_37,B000001,3700,3729,0,0,NUMERIC,
B_1_C0_37,B000001,3540,3549,0,0,NUMERIC,
B_1_C0_37,B000001,3220,3229,0,0,NUMERIC,
B_1_C0_37,B000001,3330,3339,0,0,NUMERIC,
